Contest, Problem, Difficulty, Name, Codeforces URL
1003, A, 800, Polycarp's Pockets, https://codeforces.com/problemset/problem/1003/A
1030, A, 800, In Search of an Easy Problem, https://codeforces.com/problemset/problem/1030/A
1061, A, 800, Coins, https://codeforces.com/problemset/problem/1061/A
1080, A, 800, Petya and Origami, https://codeforces.com/problemset/problem/1080/A
1088, A, 800, Ehab and another construction problem, https://codeforces.com/problemset/problem/1088/A
110, A, 800, Nearly Lucky Number, https://codeforces.com/problemset/problem/110/A
1106, A, 800, Lunar New Year and Cross Counting, https://codeforces.com/problemset/problem/1106/A
1108, A, 800, Two distinct points, https://codeforces.com/problemset/problem/1108/A
112, A, 800, Petya and Strings, https://codeforces.com/problemset/problem/112/A
1131, A, 800, Sea Battle, https://codeforces.com/problemset/problem/1131/A
1143, A, 800, The Doors, https://codeforces.com/problemset/problem/1143/A
1144, A, 800, Diverse Strings, https://codeforces.com/problemset/problem/1144/A
116, A, 800, Tram, https://codeforces.com/problemset/problem/116/A
1167, A, 800, Telephone Number, https://codeforces.com/problemset/problem/1167/A
1186, A, 800, Vus the Cossack and a Contest, https://codeforces.com/problemset/problem/1186/A
1191, A, 800, Tokitsukaze and Enhancement, https://codeforces.com/problemset/problem/1191/A
1206, A, 800, Choose Two Numbers, https://codeforces.com/problemset/problem/1206/A
1220, A, 800, Cards, https://codeforces.com/problemset/problem/1220/A
1236, A, 800, Stones, https://codeforces.com/problemset/problem/1236/A
1243, A, 800, Maximum Square, https://codeforces.com/problemset/problem/1243/A
1249, A, 800, Yet Another Dividing into Teams, https://codeforces.com/problemset/problem/1249/A
1269, A, 800, Equation, https://codeforces.com/problemset/problem/1269/A
1270, A, 800, Card Game, https://codeforces.com/problemset/problem/1270/A
1271, A, 800, Suits, https://codeforces.com/problemset/problem/1271/A
1281, A, 800, Suffix Three, https://codeforces.com/problemset/problem/1281/A
1283, A, 800, Minutes Before the New Year, https://codeforces.com/problemset/problem/1283/A
1285, A, 800, Mezo Playing Zoma, https://codeforces.com/problemset/problem/1285/A
1287, A, 800, Angry Students, https://codeforces.com/problemset/problem/1287/A
1294, A, 800, Collecting Coins, https://codeforces.com/problemset/problem/1294/A
1301, A, 800, Three Strings, https://codeforces.com/problemset/problem/1301/A
1303, A, 800, Erasing Zeroes, https://codeforces.com/problemset/problem/1303/A
1304, A, 800, Two Rabbits, https://codeforces.com/problemset/problem/1304/A
1305, A, 800, Kuroni and the Gifts, https://codeforces.com/problemset/problem/1305/A
1307, A, 800, Cow and Haybales, https://codeforces.com/problemset/problem/1307/A
1311, A, 800, Add Odd or Subtract Even, https://codeforces.com/problemset/problem/1311/A
1312, A, 800, Two Regular Polygons, https://codeforces.com/problemset/problem/1312/A
1315, A, 800, Dead Pixel, https://codeforces.com/problemset/problem/1315/A
1316, A, 800, Grade Allocation, https://codeforces.com/problemset/problem/1316/A
1323, A, 800, Even Subset Sum Problem, https://codeforces.com/problemset/problem/1323/A
1325, A, 800, EhAb AnD gCd, https://codeforces.com/problemset/problem/1325/A
1325, B, 800, CopyCopyCopyCopyCopy, https://codeforces.com/problemset/problem/1325/B
1328, A, 800, Divisibility Problem, https://codeforces.com/problemset/problem/1328/A
1335, A, 800, Candies and Two Sisters, https://codeforces.com/problemset/problem/1335/A
1337, A, 800, Ichihime and Triangle, https://codeforces.com/problemset/problem/1337/A
1343, B, 800, Balanced Array, https://codeforces.com/problemset/problem/1343/B
1345, A, 800, Puzzle Pieces, https://codeforces.com/problemset/problem/1345/A
1348, A, 800, Phoenix and Balance, https://codeforces.com/problemset/problem/1348/A
1351, A, 800, A+B (Trial Problem), https://codeforces.com/problemset/problem/1351/A
1352, A, 800, Sum of Round Numbers, https://codeforces.com/problemset/problem/1352/A
1353, A, 800, Most Unstable Array, https://codeforces.com/problemset/problem/1353/A
1353, B, 800, Two Arrays And Swaps, https://codeforces.com/problemset/problem/1353/B
1358, A, 800, Park Lighting, https://codeforces.com/problemset/problem/1358/A
1360, A, 800, Minimal Square, https://codeforces.com/problemset/problem/1360/A
1360, B, 800, Honest Coach, https://codeforces.com/problemset/problem/1360/B
