Contest,  Problem,  Difficulty,  Name,  Codeforces URL


112,  A,  800,  Petya and Strings,  https://codeforces.com/problemset/problem/112/A
136,  A,  800,  Presents,  https://codeforces.com/problemset/problem/136/A
144,  A,  800,  Arrival of the General,  https://codeforces.com/problemset/problem/144/A
151,  A,  800,  Soft Drinking,  https://codeforces.com/problemset/problem/151/A
1629,  A,  800,  Download More RAM,  https://codeforces.com/problemset/problem/1629/A
1631,  A,  800,  Min Max Swap,  https://codeforces.com/problemset/problem/1631/A
1632,  A,  800,  ABC,  https://codeforces.com/problemset/problem/1632/A
1635,  A,  800,  Min Or Sum,  https://codeforces.com/problemset/problem/1635/A
1635,  B,  800,  Avoid Local Maximums,  https://codeforces.com/problemset/problem/1635/B
1637,  A,  800,  Sorting Parts,  https://codeforces.com/problemset/problem/1637/A
1651,  A,  800,  Playoff,  https://codeforces.com/problemset/problem/1651/A
1651,  B,  800,  Prove Him Wrong,  https://codeforces.com/problemset/problem/1651/B
1657,  B,  800,  XY Sequence,  https://codeforces.com/problemset/problem/1657/B
1686,  A,  800,  Everything Everywhere All But One,  https://codeforces.com/problemset/problem/1686/A
1691,  A,  800,  Beat The Odds,  https://codeforces.com/problemset/problem/1691/A
1692,  A,  800,  Marathon,  https://codeforces.com/problemset/problem/1692/A
1692,  B,  800,  All Distinct,  https://codeforces.com/problemset/problem/1692/B
1692,  B,  800,  All Distinct,  https://codeforces.com/problemset/problem/1692/B
1692,  C,  800,  Where's the Bishop?,  https://codeforces.com/problemset/problem/1692/C
1694,  A,  800,  Creep,  https://codeforces.com/problemset/problem/1694/A
1798,  A,  800,  Showstopper,  https://codeforces.com/problemset/problem/1798/A
1805,  A,  800,  We Need the Zero,  https://codeforces.com/problemset/problem/1805/A
1805,  A,  800,  We Need the Zero,  https://codeforces.com/problemset/problem/1805/A
1805,  B,  800,  The String Has a Target,  https://codeforces.com/problemset/problem/1805/B
1805,  B,  800,  The String Has a Target,  https://codeforces.com/problemset/problem/1805/B
1807,  A,  800,  Plus or Minus,  https://codeforces.com/problemset/problem/1807/A
1807,  B,  800,  Grab the Candies,  https://codeforces.com/problemset/problem/1807/B
1807,  C,  800,  Find and Replace,  https://codeforces.com/problemset/problem/1807/C
1809,  A,  800,  Garland,  https://codeforces.com/problemset/problem/1809/A
1811,  A,  800,  Insert Digit,  https://codeforces.com/problemset/problem/1811/A
233,  A,  800,  Perfect Permutation,  https://codeforces.com/problemset/problem/233/A
255,  A,  800,  Greg's Workout,  https://codeforces.com/problemset/problem/255/A
262,  A,  800,  Roma and Lucky Numbers,  https://codeforces.com/problemset/problem/262/A
263,  A,  800,  Beautiful Matrix,  https://codeforces.com/problemset/problem/263/A
265,  A,  800,  Colorful Stones (Simplified Edition),  https://codeforces.com/problemset/problem/265/A
266,  B,  800,  Queue at the School,  https://codeforces.com/problemset/problem/266/B
268,  A,  800,  Games,  https://codeforces.com/problemset/problem/268/A
302,  A,  800,  Eugeny and Array,  https://codeforces.com/problemset/problem/302/A
330,  A,  800,  Cakeminator,  https://codeforces.com/problemset/problem/330/A
339,  A,  800,  Helpful Maths,  https://codeforces.com/problemset/problem/339/A
