Contest,  Problem,  Difficulty,  Name,  Codeforces URL


1003,  A,  800,  Polycarp's Pockets,  https://codeforces.com/problemset/problem/1003/A
1085,  A,  800,  Right-Left Cipher,  https://codeforces.com/problemset/problem/1085/A
110,  A,  800,  Nearly Lucky Number,  https://codeforces.com/problemset/problem/110/A
1104,  A,  800,  Splitting into digits,  https://codeforces.com/problemset/problem/1104/A
1106,  A,  800,  Lunar New Year and Cross Counting,  https://codeforces.com/problemset/problem/1106/A
1108,  A,  800,  Two distinct points,  https://codeforces.com/problemset/problem/1108/A
1114,  A,  800,  Got Any Grapes?,  https://codeforces.com/problemset/problem/1114/A
112,  A,  800,  Petya and Strings,  https://codeforces.com/problemset/problem/112/A
1130,  A,  800,  Be Positive,  https://codeforces.com/problemset/problem/1130/A
1131,  A,  800,  Sea Battle,  https://codeforces.com/problemset/problem/1131/A
1143,  A,  800,  The Doors,  https://codeforces.com/problemset/problem/1143/A
1154,  A,  800,  Restoring Three Numbers,  https://codeforces.com/problemset/problem/1154/A
116,  A,  800,  Tram,  https://codeforces.com/problemset/problem/116/A
1167,  A,  800,  Telephone Number,  https://codeforces.com/problemset/problem/1167/A
1176,  A,  800,  Divide it!,  https://codeforces.com/problemset/problem/1176/A
1186,  A,  800,  Vus the Cossack and a Contest,  https://codeforces.com/problemset/problem/1186/A
1189,  A,  800,  Keanu Reeves,  https://codeforces.com/problemset/problem/1189/A
1191,  A,  800,  Tokitsukaze and Enhancement,  https://codeforces.com/problemset/problem/1191/A
1194,  A,  800,  Remove a Progression,  https://codeforces.com/problemset/problem/1194/A
1196,  A,  800,  Three Piles of Candies,  https://codeforces.com/problemset/problem/1196/A
1200,  A,  800,  Hotelier,  https://codeforces.com/problemset/problem/1200/A
1206,  A,  800,  Choose Two Numbers,  https://codeforces.com/problemset/problem/1206/A
1207,  A,  800,  There Are Two Types Of Burgers,  https://codeforces.com/problemset/problem/1207/A
1209,  A,  800,  Paint the Numbers,  https://codeforces.com/problemset/problem/1209/A
1216,  A,  800,  Prefixes,  https://codeforces.com/problemset/problem/1216/A
1220,  A,  800,  Cards,  https://codeforces.com/problemset/problem/1220/A
1223,  A,  800,  CME,  https://codeforces.com/problemset/problem/1223/A
1228,  A,  800,  Distinct Digits,  https://codeforces.com/problemset/problem/1228/A
1230,  A,  800,  Dawid and Bags of Candies,  https://codeforces.com/problemset/problem/1230/A
1234,  A,  800,  Equalize Prices Again,  https://codeforces.com/problemset/problem/1234/A
1236,  A,  800,  Stones,  https://codeforces.com/problemset/problem/1236/A
1243,  A,  800,  Maximum Square,  https://codeforces.com/problemset/problem/1243/A
1244,  A,  800,  Pens and Pencils,  https://codeforces.com/problemset/problem/1244/A
1249,  A,  800,  Yet Another Dividing into Teams,  https://codeforces.com/problemset/problem/1249/A
1250,  F,  800,  Data Center,  https://codeforces.com/problemset/problem/1250/F
1255,  A,  800,  Changing Volume,  https://codeforces.com/problemset/problem/1255/A
1257,  A,  800,  Two Rival Students,  https://codeforces.com/problemset/problem/1257/A
1269,  A,  800,  Equation,  https://codeforces.com/problemset/problem/1269/A
1270,  A,  800,  Card Game,  https://codeforces.com/problemset/problem/1270/A
